,type,gender_guessed,Height,Width,is_flat,age,years_selling,Uniqueness,is_signed,gallery,price_numeric,painting,description_present,location,image_path
0,Unique work,female,27.6,27.6,Not flat,0.0,1.0,Unique,signed,independent,3158.0,other,Present,France,images_thesis\2313827_1_m.jpg
1,Unique work,female,19.7,19.7,Not flat,0.0,3.0,Unique,signed,independent,2065.0,other,Present,France,images_thesis\2328028_1_m.jpg
2,Unique work,female,23.6,23.6,Not flat,0.0,3.0,Unique,signed,independent,3522.0,other,Present,France,images_thesis\2299335_1_m.jpg
3,Unique work,female,15.7,11.8,Not flat,4.0,5.0,Unique,signed,gallery,644.0,oil,Present,other,images_thesis\1118562_1_m.jpg
4,Unique work,unknown,15.7,15.7,Not flat,4.0,5.0,Unique,signed,independent,838.0,other,Present,France,images_thesis\1241121_1_m.jpg
5,Unique work,male,31.5,23.6,Not flat,3.0,3.0,Unique,signed,independent,839.0,acrylic,Present,other,images_thesis\1764357_1_m.jpg
6,Unique work,female,19.7,19.7,Not flat,4.0,6.0,Unique,signed,independent,790.0,acrylic,Present,other,images_thesis\1286004_1_m.jpg
7,Unique work,unknown,19.3,19.3,Not flat,6.0,11.0,Unique,signed,gallery,875.0,other,Present,France,images_thesis\575328_1_m.jpg
8,Unique work,male,47.2,31.5,Not flat,3.0,2.0,Unique,signed,gallery,2033.0,acrylic,Present,other,images_thesis\2160108_1_m.jpg
9,Unique work,male,31.9,39.4,Not flat,6.0,8.0,Unique,signed,gallery,2429.0,oil,No description,France,images_thesis\842034_1_m.jpg
10,Unique work,male,8.0,8.0,Not flat,5.0,6.0,Unique,signed,gallery,600.0,acrylic,Present,United States,images_thesis\827373_1_m.jpg
11,Unique work,male,31.9,46.1,Not flat,6.0,10.0,Unique,signed,gallery,972.0,other,No description,other,images_thesis\679239_1_m.jpg
12,Unique work,female,31.5,31.5,Not flat,4.0,5.0,Unique,signed,independent,644.0,acrylic,Present,other,images_thesis\1092183_1_m.jpg
13,Unique work,male,28.7,21.3,Not flat,5.0,2.0,Unique,signed,gallery,2794.0,other,Present,other,images_thesis\2097702_1_m.jpg
14,Unique work,female,31.5,31.5,Not flat,1.0,3.0,Unique,signed,independent,2915.0,oil,Present,other,images_thesis\2174383_1_m.jpg
15,Unique work,unknown,59.1,78.7,Not flat,15.0,4.0,Unique,signed,gallery,63160.0,acrylic,Present,France,images_thesis\2310418_1_m.jpg
16,Unique work,male,7.9,7.9,Not flat,7.0,8.0,Unique,signed,gallery,668.0,acrylic,No description,France,images_thesis\459001_1_m.jpg
17,Unique work,male,14.6,10.6,Not flat,27.0,6.0,Unique,not signed,gallery,729.0,oil,Present,other,images_thesis\680721_1_m.jpg
18,Unique work,male,35.4,35.4,Not flat,1.0,5.0,Unique,signed,independent,849.0,acrylic,Present,other,images_thesis\2249811_1_m.jpg
19,Unique work,male,40.0,66.0,Not flat,39.0,9.0,Unique,signed,gallery,450000.0,acrylic,Present,United States,images_thesis\50976_1_m.jpg
20,Unique work,unknown,63.8,38.2,Flat,33.0,10.0,Unique,signed,gallery,91097.0,acrylic,No description,other,images_thesis\1223355_1_m.jpg
21,Unique work,unknown,27.6,19.7,Not flat,5.0,5.0,Unique,signed,gallery,607.0,acrylic,No description,France,images_thesis\931020_1_m.jpg
22,Unique work,unknown,24.0,19.7,Flat,5.0,1.0,Unique,signed,independent,1093.0,acrylic,Present,France,images_thesis\2229274_1_m.jpg
23,Unique work,female,63.0,37.4,Not flat,0.0,4.0,Unique,signed,independent,1761.0,acrylic,Present,Spain,images_thesis\2248842_1_m.jpg
24,Unique work,male,47.2,23.6,Not flat,6.0,9.0,Unique,signed,gallery,850.0,other,No description,France,images_thesis\2297169_1_m.jpg
25,Unique work,female,48.0,30.0,Not flat,3.0,7.0,Unique,signed,gallery,800.0,other,Present,United States,images_thesis\1555308_1_m.jpg
26,Unique work,unknown,36.0,24.0,Not flat,1.0,3.0,Unique,signed,gallery,2450.0,other,No description,other,images_thesis\2253925_1_m.jpg
27,Unique work,male,31.9,39.4,Not flat,2.0,9.0,Unique,signed,gallery,850.0,other,No description,France,images_thesis\2155002_1_m.jpg
28,Unique work,unknown,25.6,19.7,Not flat,0.0,10.0,Unique,signed,gallery,838.0,other,Present,France,images_thesis\2320948_1_m.jpg
29,Unique work,female,16.5,11.7,Not flat,4.0,9.0,Unique,signed,gallery,972.0,other,No description,Spain,images_thesis\1374666_1_m.jpg
30,Unique work,female,31.5,23.6,Not flat,4.0,5.0,Unique,signed,independent,850.0,acrylic,Present,France,images_thesis\1259667_1_m.jpg
31,Unique work,female,31.9,39.4,Not flat,1.0,3.0,Unique,signed,independent,1640.0,other,Present,France,images_thesis\2235146_1_m.jpg
32,Unique work,male,35.4,27.6,Flat,7.0,5.0,Unique,not signed,independent,2551.0,other,No description,Spain,images_thesis\726180_1_m.jpg
33,Unique work,male,12.6,10.2,Not flat,1.0,11.0,Unique,signed,gallery,960.0,other,Present,France,images_thesis\2291042_1_m.jpg
34,Unique work,unknown,19.7,7.9,Not flat,4.0,11.0,Unique,signed,gallery,850.0,acrylic,No description,France,images_thesis\1160856_1_m.jpg
35,Unique work,male,23.6,11.8,Not flat,6.0,10.0,Unique,signed,gallery,850.0,other,No description,France,images_thesis\1307505_1_m.jpg
36,Unique work,unknown,15.7,11.8,Not flat,0.0,4.0,Unique,signed,gallery,972.0,acrylic,No description,France,images_thesis\2300441_1_m.jpg
37,Unique work,unknown,29.5,48.0,Not flat,3.0,1.0,Unique,signed,gallery,2186.0,other,Present,France,images_thesis\2280207_1_m.jpg
38,Unique work,male,23.6,23.6,Not flat,5.0,9.0,Unique,signed,gallery,668.0,acrylic,Present,France,images_thesis\847806_1_m.jpg
39,Unique work,female,16.5,11.8,Flat,11.0,10.0,Unique,signed,gallery,850.0,other,No description,other,images_thesis\1051380_1_m.jpg
40,Unique work,male,23.6,31.5,Not flat,10.0,6.0,Unique,signed,independent,1215.0,other,Present,France,images_thesis\478579_1_m.jpg
41,Unique work,female,27.6,19.7,Not flat,8.0,8.0,Unique,signed,gallery,1263.0,other,Present,other,images_thesis\294574_1_m.jpg
42,Unique work,unknown,39.4,31.9,Not flat,4.0,10.0,Unique,signed,gallery,2065.0,other,No description,France,images_thesis\2268255_1_m.jpg
43,Unique work,male,7.9,7.9,Not flat,12.0,4.0,Unique,signed,independent,800.0,other,No description,Ukraine,images_thesis\1735587_1_m.jpg
44,Unique work,male,21.7,21.7,Not flat,3.0,10.0,Unique,signed,gallery,2378.0,acrylic,Present,Spain,images_thesis\1729989_1_m.jpg
45,Unique work,female,39.4,27.6,Not flat,13.0,10.0,Unique,signed,gallery,972.0,oil,No description,France,images_thesis\1173576_1_m.jpg
46,Unique work,female,45.7,28.7,Not flat,4.0,9.0,Unique,signed,gallery,2794.0,other,Present,France,images_thesis\1999140_1_m.jpg
47,Unique work,unknown,11.8,15.7,Not flat,3.0,3.0,Unique,not signed,gallery,972.0,oil,Present,Ukraine,images_thesis\1785654_1_m.jpg
48,Unique work,male,15.7,15.7,Not flat,0.0,6.0,Unique,signed,independent,607.0,oil,No description,other,images_thesis\2315730_1_m.jpg
49,Unique work,unknown,47.2,59.1,Not flat,1.0,4.0,Unique,signed,gallery,8502.0,other,Present,France,images_thesis\2204449_1_m.jpg
50,Unique work,female,21.7,18.1,Not flat,17.0,7.0,Unique,signed,gallery,1458.0,oil,Present,France,images_thesis\1226568_1_m.jpg
51,Unique work,unknown,39.4,39.4,Not flat,2.0,9.0,Unique,signed,gallery,1943.0,acrylic,Present,France,images_thesis\2149337_1_m.jpg
52,Unique work,male,28.7,23.6,Not flat,7.0,4.0,Unique,signed,gallery,1822.0,acrylic,No description,France,images_thesis\1996287_1_m.jpg
53,Unique work,male,28.7,23.6,Flat,4.0,8.0,Unique,signed,gallery,2004.0,acrylic,No description,France,images_thesis\1042977_1_m.jpg
54,Unique work,female,9.8,9.8,Not flat,5.0,9.0,Unique,signed,gallery,972.0,acrylic,No description,France,images_thesis\933687_1_m.jpg
55,Unique work,male,48.0,59.8,Not flat,7.0,10.0,Unique,signed,gallery,2727.0,acrylic,No description,other,images_thesis\301825_1_m.jpg
56,Unique work,male,15.7,15.7,Not flat,1.0,5.0,Unique,signed,independent,1458.0,other,No description,other,images_thesis\2180511_1_m.jpg
57,Unique work,female,31.5,23.6,Not flat,7.0,8.0,Unique,signed,gallery,972.0,acrylic,Present,other,images_thesis\489088_1_m.jpg
58,Unique work,male,31.5,23.6,Not flat,40.0,4.0,Unique,signed,gallery,4150.0,acrylic,No description,other,images_thesis\2289470_1_m.jpg
59,Unique work,female,28.7,47.6,Not flat,2.0,4.0,Unique,signed,independent,972.0,other,No description,Ukraine,images_thesis\1789590_1_m.jpg
60,Unique work,male,27.6,19.7,Not flat,7.0,7.0,Unique,signed,gallery,1275.0,acrylic,Present,France,images_thesis\1509231_1_m.jpg
61,Unique work,male,28.7,36.2,Not flat,6.0,9.0,Unique,signed,gallery,2417.0,oil,No description,France,images_thesis\130456_1_m.jpg
62,Unique work,male,23.6,31.5,Not flat,34.0,5.0,Unique,signed,independent,2186.0,oil,Present,other,images_thesis\1286745_1_m.jpg
63,Unique work,unknown,47.2,47.2,Not flat,0.0,10.0,Unique,signed,gallery,1883.0,acrylic,No description,France,images_thesis\2288385_1_m.jpg
64,Unique work,male,15.7,11.8,Not flat,1.0,4.0,Unique,signed,gallery,911.0,other,No description,France,images_thesis\2288709_1_m.jpg
65,Unique work,female,16.0,16.0,Not flat,3.0,3.0,Unique,signed,gallery,675.0,acrylic,Present,United States,images_thesis\1830486_1_m.jpg
66,Unique work,male,47.2,47.2,Not flat,2.0,9.0,Unique,signed,gallery,5466.0,oil,No description,France,images_thesis\2121219_1_m.jpg
67,Unique work,female,36.0,24.0,Not flat,1.0,3.0,Unique,signed,gallery,795.0,acrylic,Present,United States,images_thesis\2306363_1_m.jpg
68,Unique work,female,15.7,19.7,Not flat,2.0,1.0,Unique,signed,independent,972.0,oil,Present,other,images_thesis\2250582_1_m.jpg
69,Unique work,male,14.0,9.9,Not flat,5.0,10.0,Unique,signed,gallery,2098.0,other,No description,other,images_thesis\1751949_1_m.jpg
70,Unique work,unknown,12.0,8.0,Not flat,4.0,4.0,Unique,signed,gallery,1458.0,other,No description,United States,images_thesis\1184298_1_m.jpg
71,Unique work,female,41.3,33.5,Not flat,1.0,3.0,Unique,signed,independent,2672.0,acrylic,Present,France,images_thesis\2245090_1_m.jpg
72,Unique work,male,31.5,31.5,Not flat,11.0,10.0,Unique,signed,gallery,6680.0,other,Present,other,images_thesis\1298688_1_m.jpg
73,Unique work,male,31.5,47.2,Not flat,4.0,9.0,Unique,signed,gallery,2429.0,other,No description,France,images_thesis\1059198_1_m.jpg
74,Unique work,male,39.4,27.6,Not flat,5.0,8.0,Unique,signed,gallery,619.0,acrylic,Present,other,images_thesis\909987_1_m.jpg
75,Unique work,female,22.0,19.3,Not flat,0.0,5.0,Unique,signed,independent,972.0,other,No description,France,images_thesis\2323790_1_m.jpg
76,Unique work,unknown,25.2,21.3,Not flat,1.0,12.0,Unique,signed,gallery,2915.0,other,No description,other,images_thesis\2204550_1_m.jpg
77,Unique work,female,15.4,15.4,Not flat,2.0,1.0,Unique,signed,independent,911.0,other,Present,France,images_thesis\2173321_1_m.jpg
78,Unique work,male,27.6,27.6,Not flat,2.0,9.0,Unique,signed,gallery,2247.0,oil,Present,Spain,images_thesis\2160940_1_m.jpg
79,Unique work,unknown,27.6,19.7,Not flat,5.0,1.0,Unique,signed,gallery,735.0,other,Present,Ukraine,images_thesis\2265243_1_m.jpg
80,Unique work,unknown,19.7,15.7,Not flat,9.0,11.0,Unique,signed,gallery,1579.0,other,No description,France,images_thesis\808281_1_m.jpg
81,Unique work,unknown,18.1,15.0,Not flat,40.0,9.0,Unique,signed,gallery,3158.0,oil,No description,France,images_thesis\595194_1_m.jpg
82,Unique work,male,31.5,31.5,Not flat,0.0,9.0,Unique,signed,gallery,850.0,acrylic,No description,France,images_thesis\2320106_1_m.jpg
83,Unique work,unknown,29.5,21.7,Not flat,10.0,1.0,Unique,signed,gallery,893.0,other,Present,Ukraine,images_thesis\2264581_1_m.jpg
84,Unique work,male,31.5,23.6,Flat,5.0,5.0,Unique,signed,gallery,1154.0,other,No description,other,images_thesis\1261845_1_m.jpg
85,Unique work,unknown,46.1,35.0,Not flat,1.0,8.0,Unique,signed,gallery,2308.0,acrylic,Present,France,images_thesis\2252901_1_m.jpg
86,Unique work,female,35.4,35.4,Not flat,3.0,6.0,Unique,signed,independent,2794.0,other,Present,other,images_thesis\1465446_1_m.jpg
87,Unique work,male,16.5,24.4,Flat,6.0,8.0,Unique,signed,gallery,1154.0,other,Present,France,images_thesis\1488249_1_m.jpg
88,Unique work,male,39.4,31.5,Not flat,3.0,11.0,Unique,signed,gallery,5344.0,other,No description,France,images_thesis\837972_1_m.jpg
89,Unique work,male,35.4,23.6,Not flat,7.0,10.0,Unique,signed,gallery,2797.0,oil,Present,other,images_thesis\2250953_1_m.jpg
90,Unique work,male,35.4,35.4,Not flat,6.0,3.0,Unique,signed,independent,4858.0,other,No description,other,images_thesis\1538286_1_m.jpg
91,Unique work,unknown,31.5,31.5,Not flat,1.0,3.0,Unique,signed,gallery,1324.0,other,No description,France,images_thesis\2253007_1_m.jpg
92,Unique work,male,19.7,19.7,Not flat,1.0,1.0,Unique,signed,independent,668.0,oil,Present,other,images_thesis\2247355_1_m.jpg
93,Unique work,male,47.2,94.5,Not flat,1.0,5.0,Unique,signed,gallery,39475.0,other,Present,other,images_thesis\2236688_1_m.jpg
94,Unique work,unknown,31.5,23.6,Not flat,10.0,1.0,Unique,signed,gallery,729.0,oil,Present,Ukraine,images_thesis\2280779_1_m.jpg
95,Unique work,unknown,6.9,4.9,Not flat,65.0,12.0,Unique,not signed,gallery,1822.0,other,No description,France,images_thesis\2252092_1_m.jpg
96,Unique work,male,39.4,39.4,Not flat,1.0,9.0,Unique,signed,gallery,1215.0,acrylic,No description,France,images_thesis\2229270_1_m.jpg
97,Unique work,male,39.4,27.6,Not flat,2.0,7.0,Unique,signed,gallery,1822.0,acrylic,Present,other,images_thesis\2193070_1_m.jpg
98,Unique work,male,13.0,13.0,Not flat,4.0,10.0,Unique,signed,gallery,753.0,oil,No description,other,images_thesis\1211052_1_m.jpg
99,Unique work,unknown,44.5,33.5,Not flat,6.0,10.0,Unique,signed,gallery,790.0,other,No description,France,images_thesis\2258968_1_m.jpg
100,Unique work,female,19.7,15.7,Not flat,1.0,1.0,Unique,signed,gallery,668.0,other,Present,France,images_thesis\2247794_1_m.jpg
101,Unique work,male,28.0,22.0,Not flat,9.0,5.0,Unique,signed,gallery,990.0,acrylic,Present,other,images_thesis\1637907_1_m.jpg
102,Unique work,unknown,31.5,23.6,Not flat,5.0,4.0,Unique,signed,gallery,1700.0,other,No description,France,images_thesis\922512_1_m.jpg
103,Unique work,female,31.5,31.5,Not flat,2.0,3.0,Unique,signed,independent,3279.0,acrylic,Present,other,images_thesis\2103990_1_m.jpg
104,Unique work,female,31.5,31.5,Not flat,3.0,5.0,Unique,signed,independent,2340.0,other,Present,other,images_thesis\1624296_1_m.jpg
105,Unique work,female,13.0,13.0,Flat,11.0,10.0,Unique,signed,gallery,1888.0,other,No description,United States,images_thesis\1303557_1_m.jpg
106,Unique work,unknown,28.0,19.7,Not flat,1.0,1.0,Unique,signed,independent,802.0,oil,Present,France,images_thesis\2266673_1_m.jpg
107,Unique work,female,39.4,39.4,Not flat,1.0,10.0,Unique,signed,gallery,3427.0,acrylic,No description,other,images_thesis\2253961_1_m.jpg
108,Unique work,female,23.6,19.7,Not flat,1.0,1.0,Unique,signed,gallery,826.0,oil,Present,France,images_thesis\2213903_1_m.jpg
109,Unique work,unknown,45.7,35.0,Not flat,4.0,6.0,Unique,signed,independent,2526.0,acrylic,Present,other,images_thesis\1262916_1_m.jpg
110,Unique work,unknown,19.7,19.7,Not flat,2.0,2.0,Unique,signed,independent,668.0,acrylic,No description,France,images_thesis\1866960_1_m.jpg
111,Unique work,female,19.7,19.7,Not flat,2.0,8.0,Unique,signed,gallery,946.0,other,No description,France,images_thesis\1765773_1_m.jpg
112,Unique work,unknown,39.4,28.7,Not flat,0.0,7.0,Unique,signed,gallery,1445.0,other,Present,other,images_thesis\2333872_1_m.jpg
113,Unique work,male,19.7,39.4,Not flat,1.0,9.0,Unique,signed,gallery,607.0,other,No description,France,images_thesis\2283694_1_m.jpg
114,Unique work,unknown,45.0,28.0,Not flat,4.0,4.0,Unique,signed,gallery,3500.0,other,Present,United States,images_thesis\2264033_1_m.jpg
115,Unique work,male,15.7,15.7,Not flat,4.0,12.0,Unique,signed,gallery,3279.0,acrylic,No description,other,images_thesis\1289064_1_m.jpg
116,Unique work,unknown,19.7,15.7,Not flat,1.0,8.0,Unique,signed,gallery,790.0,other,No description,other,images_thesis\2221150_1_m.jpg
117,Unique work,female,21.3,31.9,Flat,17.0,10.0,Unique,signed,gallery,16033.0,oil,Present,France,images_thesis\20945_1_m.jpg
118,Unique work,unknown,36.0,36.0,Not flat,4.0,3.0,Unique,signed,gallery,850.0,other,Present,other,images_thesis\1690638_1_m.jpg
119,Unique work,female,39.4,39.4,Not flat,0.0,4.0,Unique,signed,gallery,1943.0,other,No description,other,images_thesis\2297798_1_m.jpg
120,Unique work,male,31.5,31.5,Not flat,1.0,9.0,Unique,signed,gallery,2308.0,other,No description,France,images_thesis\2256361_1_m.jpg
121,Unique work,unknown,21.7,29.1,Flat,50.0,9.0,Unique,signed,gallery,2794.0,other,Present,France,images_thesis\1686357_1_m.jpg
122,Unique work,unknown,26.4,20.1,Flat,36.0,10.0,Unique,signed,gallery,103243.0,other,No description,other,images_thesis\1229526_1_m.jpg
123,Unique work,female,15.7,11.8,Not flat,4.0,9.0,Unique,signed,gallery,972.0,acrylic,No description,Spain,images_thesis\1145493_1_m.jpg
124,Unique work,male,45.7,35.0,Not flat,7.0,6.0,Unique,signed,independent,3037.0,other,Present,France,images_thesis\619071_1_m.jpg
125,Unique work,female,31.5,47.2,Not flat,0.0,8.0,Unique,signed,gallery,4373.0,oil,Present,France,images_thesis\2315994_1_m.jpg
126,Unique work,male,19.7,19.7,Not flat,1.0,9.0,Unique,signed,gallery,1822.0,other,No description,France,images_thesis\2231836_1_m.jpg
127,Unique work,unknown,39.4,39.4,Not flat,2.0,3.0,Unique,signed,gallery,1590.0,acrylic,Present,Spain,images_thesis\2037402_1_m.jpg
128,Unique work,female,23.6,19.7,Not flat,1.0,1.0,Unique,signed,gallery,680.0,acrylic,Present,other,images_thesis\2302374_1_m.jpg
129,Unique work,unknown,31.5,47.2,Not flat,2.0,2.0,Unique,signed,gallery,3996.0,other,No description,other,images_thesis\2140758_1_m.jpg
130,Unique work,unknown,24.0,48.0,Not flat,9.0,8.0,Unique,signed,gallery,2429.0,other,Present,France,images_thesis\206662_1_m.jpg
131,Unique work,female,15.7,5.9,Flat,17.0,9.0,Unique,signed,gallery,729.0,other,Present,France,images_thesis\260944_1_m.jpg
132,Unique work,male,31.5,23.6,Not flat,1.0,10.0,Unique,signed,gallery,2794.0,other,Present,France,images_thesis\2283992_1_m.jpg
133,Unique work,female,24.4,17.7,Not flat,1.0,3.0,Unique,signed,gallery,790.0,other,Present,other,images_thesis\2253912_1_m.jpg
134,Unique work,male,31.5,39.4,Not flat,3.0,6.0,Unique,signed,gallery,3037.0,acrylic,Present,other,images_thesis\1726077_1_m.jpg
135,Unique work,unknown,28.7,36.2,Not flat,10.0,8.0,Unique,signed,gallery,4858.0,other,Present,France,images_thesis\2296477_1_m.jpg
136,Unique work,unknown,23.6,23.6,Not flat,1.0,11.0,Unique,signed,gallery,3401.0,acrylic,Present,France,images_thesis\2197894_1_m.jpg
137,Unique work,unknown,17.7,13.0,Not flat,4.0,5.0,Unique,signed,gallery,1700.0,other,Present,France,images_thesis\1256280_1_m.jpg
138,Unique work,unknown,47.2,7.9,Not flat,5.0,11.0,Unique,signed,gallery,1822.0,oil,Present,France,images_thesis\975660_1_m.jpg
139,Unique work,female,11.8,11.8,Not flat,2.0,8.0,Unique,signed,gallery,3887.0,acrylic,No description,other,images_thesis\2156847_1_m.jpg
140,Unique work,unknown,23.6,23.6,Not flat,2.0,4.0,Unique,signed,gallery,972.0,other,Present,France,images_thesis\2153386_1_m.jpg
141,Unique work,male,16.1,20.1,Not flat,4.0,9.0,Unique,signed,gallery,972.0,other,Present,France,images_thesis\1545879_1_m.jpg
142,Unique work,female,18.9,21.7,Not flat,5.0,7.0,Unique,signed,gallery,1579.0,other,No description,France,images_thesis\1164471_1_m.jpg
143,Unique work,male,5.5,9.1,Not flat,63.0,6.0,Unique,signed,gallery,1458.0,other,Present,other,images_thesis\1108785_1_m.jpg
144,Unique work,female,39.4,39.4,Not flat,2.0,3.0,Unique,signed,gallery,2186.0,other,Present,other,images_thesis\2231358_1_m.jpg
145,Unique work,male,44.9,57.5,Not flat,1.0,10.0,Unique,signed,gallery,9110.0,oil,No description,France,images_thesis\2182193_1_m.jpg
146,Unique work,male,15.0,11.0,Not flat,3.0,3.0,Unique,signed,gallery,810.0,acrylic,Present,other,images_thesis\1852206_1_m.jpg
147,Unique work,male,39.4,31.9,Not flat,6.0,10.0,Unique,signed,gallery,972.0,other,No description,France,images_thesis\706830_1_m.jpg
148,Unique work,male,14.2,14.2,Not flat,10.0,11.0,Unique,signed,gallery,729.0,other,Present,France,images_thesis\340912_1_m.jpg
149,Unique work,unknown,19.7,19.7,Not flat,5.0,10.0,Unique,signed,gallery,802.0,oil,No description,France,images_thesis\1488870_1_m.jpg
150,Unique work,male,21.7,29.9,Not flat,5.0,10.0,Unique,signed,gallery,2518.0,other,Present,other,images_thesis\894399_1_m.jpg
151,Unique work,unknown,24.0,24.0,Flat,8.0,10.0,Unique,signed,gallery,3776.0,other,No description,United States,images_thesis\538402_1_m.jpg
152,Unique work,unknown,33.1,23.6,Not flat,5.0,1.0,Unique,signed,gallery,626.0,other,Present,Ukraine,images_thesis\2274889_1_m.jpg
153,Unique work,unknown,31.5,21.7,Not flat,1.0,1.0,Unique,signed,gallery,899.0,acrylic,Present,France,images_thesis\2214061_1_m.jpg
154,Unique work,unknown,25.2,19.3,Not flat,4.0,5.0,Unique,signed,gallery,2186.0,acrylic,No description,France,images_thesis\2138836_1_m.jpg
155,Unique work,female,24.0,24.0,Not flat,4.0,3.0,Unique,signed,gallery,1300.0,acrylic,Present,United States,images_thesis\2050191_1_m.jpg
156,Unique work,unknown,11.0,16.5,Not flat,3.0,3.0,Unique,signed,gallery,607.0,acrylic,Present,France,images_thesis\1911633_1_m.jpg
157,Unique work,unknown,60.2,60.2,Not flat,7.0,3.0,Unique,signed,gallery,80772.0,oil,Present,other,images_thesis\2195401_1_m.jpg
158,Unique work,unknown,31.5,31.5,Not flat,2.0,2.0,Unique,signed,gallery,3401.0,acrylic,Present,other,images_thesis\2130220_1_m.jpg
159,Unique work,female,22.0,15.0,Flat,9.0,10.0,Unique,signed,gallery,3497.0,other,Present,United States,images_thesis\525872_1_m.jpg
160,Unique work,male,31.5,63.0,Not flat,2.0,3.0,Unique,signed,gallery,1822.0,acrylic,Present,other,images_thesis\2333124_1_m.jpg
161,Unique work,unknown,25.2,23.6,Not flat,0.0,3.0,Unique,not signed,gallery,3037.0,acrylic,Present,Ukraine,images_thesis\2329799_1_m.jpg
162,Unique work,male,11.0,17.9,Flat,0.0,9.0,Unique,signed,gallery,18827.0,other,Present,France,images_thesis\2329266_1_m.jpg
163,Unique work,male,28.0,20.9,Not flat,1.0,3.0,Unique,signed,gallery,14575.0,other,Present,France,images_thesis\2327727_1_m.jpg
164,Unique work,unknown,40.0,27.6,Flat,3.0,5.0,Unique,signed,gallery,1579.0,other,Present,France,images_thesis\2327468_1_m.jpg
165,Unique work,unknown,39.4,70.9,Not flat,3.0,2.0,Unique,signed,gallery,4500.0,other,Present,other,images_thesis\2327197_1_m.jpg
166,Unique work,male,39.4,39.4,Not flat,1.0,5.0,Unique,signed,gallery,3887.0,other,Present,France,images_thesis\2326759_1_m.jpg
167,Unique work,unknown,51.2,38.2,Not flat,0.0,12.0,Unique,signed,gallery,5344.0,other,No description,France,images_thesis\2325550_1_m.jpg
168,Unique work,unknown,21.3,25.6,Not flat,1.0,12.0,Unique,signed,gallery,6680.0,acrylic,Present,France,images_thesis\2321375_1_m.jpg
169,Unique work,female,31.5,47.2,Not flat,0.0,8.0,Unique,signed,gallery,4373.0,oil,Present,France,images_thesis\2319057_1_m.jpg
170,Unique work,male,39.4,25.6,Not flat,50.0,6.0,Unique,signed,gallery,3037.0,oil,Present,France,images_thesis\2302971_1_m.jpg
171,Unique work,unknown,18.1,15.0,Not flat,1.0,11.0,Unique,signed,gallery,1215.0,oil,No description,France,images_thesis\2293072_1_m.jpg
172,Unique work,female,31.5,23.6,Not flat,2.0,9.0,Unique,signed,gallery,4616.0,acrylic,Present,other,images_thesis\2283909_1_m.jpg
174,Unique work,female,55.1,40.6,Not flat,1.0,7.0,Unique,signed,gallery,4130.0,oil,Present,France,images_thesis\2253534_1_m.jpg
175,Numbered and limited to 2 copies,unknown,26.8,20.9,Not flat,4.0,3.0,Copy,signed,gallery,10324.0,other,Present,France,images_thesis\2213442_1_m.jpg
176,Unique work,unknown,39.4,39.4,Not flat,3.0,2.0,Unique,signed,gallery,3644.0,acrylic,No description,other,images_thesis\2139156_1_m.jpg
177,Unique work,female,35.4,35.4,Not flat,3.0,2.0,Unique,signed,independent,2247.0,other,No description,France,images_thesis\2130478_1_m.jpg
178,Unique work,male,34.0,20.0,Not flat,4.0,10.0,Unique,signed,gallery,1579.0,oil,No description,United States,images_thesis\1225893_1_m.jpg
179,Unique work,female,13.6,13.6,Not flat,1.0,5.0,Unique,signed,independent,635.0,other,Present,France,images_thesis\1029474_1_m.jpg
180,Unique work,male,78.7,59.1,Flat,38.0,10.0,Unique,signed,gallery,33402.0,other,Present,other,images_thesis\923637_1_m.jpg
181,Unique work,unknown,24.0,18.1,Not flat,5.0,10.0,Unique,signed,gallery,972.0,oil,No description,other,images_thesis\867723_1_m.jpg
182,Unique work,female,13.7,11.8,Not flat,6.0,6.0,Unique,signed,gallery,750.0,other,No description,other,images_thesis\2321729_1_m.jpg
183,Unique work,unknown,23.6,31.5,Not flat,5.0,1.0,Unique,signed,gallery,613.0,oil,Present,Ukraine,images_thesis\2265393_1_m.jpg
184,Unique work,male,31.5,31.5,Not flat,2.0,10.0,Unique,signed,gallery,704.0,acrylic,No description,France,images_thesis\2230705_1_m.jpg
185,Unique work,unknown,19.7,23.6,Not flat,10.0,1.0,Unique,signed,gallery,711.0,other,Present,Ukraine,images_thesis\2274243_1_m.jpg
186,Unique work,female,55.1,55.1,Not flat,1.0,4.0,Unique,signed,gallery,2915.0,oil,Present,France,images_thesis\2253892_1_m.jpg
187,Unique work,male,13.8,19.7,Not flat,0.0,4.0,Unique,signed,gallery,668.0,oil,Present,other,images_thesis\2287218_1_m.jpg
188,Unique work,female,31.5,31.5,Not flat,1.0,3.0,Unique,signed,gallery,972.0,acrylic,Present,other,images_thesis\2189023_1_m.jpg
189,Unique work,male,20.1,20.1,Not flat,10.0,8.0,Unique,signed,gallery,3644.0,other,No description,France,images_thesis\1417662_1_m.jpg
190,Unique work,unknown,45.3,29.5,Flat,5.0,5.0,Unique,signed,independent,911.0,acrylic,No description,France,images_thesis\871431_1_m.jpg
191,Unique work,female,15.7,19.7,Not flat,0.0,9.0,Unique,signed,gallery,972.0,other,Present,France,images_thesis\2317883_1_m.jpg
192,Unique work,female,24.0,19.7,Not flat,1.0,3.0,Unique,signed,gallery,972.0,acrylic,Present,France,images_thesis\2195065_1_m.jpg
