,type,gender_guessed,Height,Width,is_flat,age,years_selling,Uniqueness,is_signed,gallery,price_numeric,painting,description_present,location,image_path
4635,Numbered and limited to 15 copies,unknown,16.0,20.0,Not flat,5.0,4.0,Copy,signed,gallery,1150.0,other,Present,other,images_thesis\2069682_1_m.jpg
4636,Unique work,unknown,30.0,24.0,Not flat,2.0,3.0,Unique,signed,gallery,2000.0,acrylic,Present,other,images_thesis\2028963_1_m.jpg
4637,Unique work,unknown,42.0,30.0,Not flat,3.0,3.0,Unique,signed,gallery,2000.0,acrylic,Present,other,images_thesis\2006205_1_m.jpg
4638,Unique work,female,16.5,11.8,Not flat,10.0,9.0,Unique,signed,gallery,1943.0,oil,No description,Spain,images_thesis\2000382_1_m.jpg
4639,Unique work,unknown,27.6,19.7,Not flat,2.0,4.0,Unique,signed,gallery,2611.0,acrylic,No description,France,images_thesis\1983054_1_m.jpg
4640,Unique work,male,23.6,23.6,Not flat,3.0,8.0,Unique,signed,gallery,1725.0,other,No description,Spain,images_thesis\1930665_1_m.jpg
4641,Unique work,male,19.7,15.7,Not flat,4.0,3.0,Unique,signed,gallery,2376.0,oil,Present,other,images_thesis\1841895_1_m.jpg
4642,Unique work,male,20.1,15.9,Not flat,5.0,10.0,Unique,signed,gallery,2405.0,acrylic,No description,other,images_thesis\1737729_1_m.jpg
4643,Unique work,female,39.4,39.4,Flat,7.0,3.0,Unique,signed,gallery,4373.0,acrylic,No description,Spain,images_thesis\1622265_1_m.jpg
4644,Unique work,female,78.7,39.4,Not flat,3.0,10.0,Unique,signed,gallery,4858.0,other,Present,France,images_thesis\1554288_1_m.jpg
4645,Unique work,male,21.3,22.0,Flat,38.0,3.0,Unique,signed,gallery,5466.0,oil,No description,Spain,images_thesis\1526454_1_m.jpg
4646,Unique work,female,15.7,15.7,Not flat,3.0,7.0,Unique,signed,gallery,1154.0,oil,No description,other,images_thesis\1520352_1_m.jpg
4647,Unique work,male,21.3,28.7,Flat,10.0,3.0,Unique,signed,gallery,5830.0,oil,No description,Spain,images_thesis\1513344_1_m.jpg
4648,Unique work,female,17.3,13.4,Not flat,4.0,7.0,Unique,signed,gallery,1215.0,other,No description,France,images_thesis\1029630_1_m.jpg
4649,Unique work,female,35.4,35.4,Not flat,10.0,10.0,Unique,signed,gallery,1458.0,other,No description,France,images_thesis\375246_1_m.jpg
4650,Unique work,female,28.7,22.4,Not flat,8.0,10.0,Unique,signed,gallery,838.0,other,Present,France,images_thesis\285433_1_m.jpg
4651,Unique work,male,20.0,16.0,Not flat,0.0,4.0,Unique,signed,gallery,5952.0,oil,No description,Spain,images_thesis\2328708_1_m.jpg
4652,Unique work,female,24.0,17.9,Not flat,25.0,9.0,Unique,not signed,gallery,1081.0,acrylic,Present,France,images_thesis\2318731_1_m.jpg
4653,Unique work,male,47.8,40.7,Not flat,36.0,9.0,Unique,not signed,gallery,2369.0,acrylic,Present,France,images_thesis\2318704_1_m.jpg
4654,Unique work,female,37.4,25.8,Not flat,10.0,9.0,Unique,not signed,gallery,2915.0,acrylic,Present,France,images_thesis\2318428_1_m.jpg
4655,Unique work,female,38.6,29.5,Not flat,6.0,9.0,Unique,not signed,gallery,4130.0,acrylic,Present,France,images_thesis\2318419_1_m.jpg
4656,Unique work,female,41.7,23.6,Not flat,15.0,9.0,Unique,not signed,gallery,2247.0,acrylic,Present,France,images_thesis\2318280_1_m.jpg
4657,Unique work,female,37.0,19.7,Not flat,8.0,9.0,Unique,not signed,gallery,1032.0,acrylic,Present,France,images_thesis\2318125_1_m.jpg
4658,Unique work,female,11.8,11.8,Not flat,2.0,1.0,Unique,signed,gallery,350.0,other,Present,United States,images_thesis\2303129_1_m.jpg
4659,Unique work,male,6.7,6.1,Not flat,44.0,9.0,Unique,signed,gallery,304.0,other,Present,France,images_thesis\2298000_1_m.jpg
4660,Unique work,unknown,10.2,10.2,Not flat,1.0,4.0,Unique,signed,gallery,364.0,other,No description,France,images_thesis\2292503_1_m.jpg
4661,Unique work,unknown,29.9,24.0,Not flat,3.0,4.0,Unique,signed,gallery,4494.0,acrylic,No description,Spain,images_thesis\2288550_1_m.jpg
4662,Unique work,male,48.0,48.0,Not flat,11.0,1.0,Unique,signed,gallery,36000.0,other,Present,United States,images_thesis\2287043_1_m.jpg
4663,Unique work,female,40.2,48.0,Not flat,2.0,1.0,Unique,signed,gallery,12948.0,other,No description,other,images_thesis\2278636_1_m.jpg
4664,Unique work,male,40.2,60.2,Not flat,2.0,1.0,Unique,signed,gallery,6340.0,oil,No description,other,images_thesis\2278534_1_m.jpg
4665,Unique work,female,16.5,12.6,Not flat,1.0,4.0,Unique,signed,gallery,2004.0,oil,No description,Spain,images_thesis\2272783_1_m.jpg
4666,Unique work,male,16.9,11.8,Not flat,1.0,2.0,Unique,signed,gallery,1943.0,oil,No description,France,images_thesis\2267635_1_m.jpg
4667,Unique work,female,39.4,31.5,Not flat,3.0,1.0,Unique,signed,gallery,1600.0,oil,Present,United States,images_thesis\2267071_1_m.jpg
4668,Unique work,unknown,48.0,48.0,Not flat,1.0,4.0,Unique,signed,gallery,5150.0,acrylic,Present,other,images_thesis\2261578_1_m.jpg
4669,Unique work,male,16.1,13.0,Not flat,69.0,6.0,Unique,signed,gallery,1090.0,oil,Present,other,images_thesis\2258829_1_m.jpg
4670,Unique work,female,35.4,47.2,Not flat,2.0,1.0,Unique,signed,gallery,1500.0,other,Present,United States,images_thesis\2254610_1_m.jpg
4671,Unique work,male,27.6,27.6,Not flat,2.0,9.0,Unique,signed,gallery,2186.0,other,Present,Spain,images_thesis\2253041_1_m.jpg
4672,Unique work,male,34.0,30.0,Not flat,25.0,4.0,Unique,signed,gallery,2800.0,acrylic,No description,other,images_thesis\2248219_1_m.jpg
4673,Unique work,male,18.0,18.0,Not flat,25.0,4.0,Unique,signed,gallery,2200.0,other,No description,other,images_thesis\2243325_1_m.jpg
4674,Unique work,female,15.4,3.9,Not flat,45.0,4.0,Unique,signed,gallery,1850.0,acrylic,No description,other,images_thesis\2235699_1_m.jpg
4675,Unique work,female,57.5,44.9,Not flat,1.0,9.0,Unique,signed,gallery,2429.0,acrylic,No description,France,images_thesis\2230133_1_m.jpg
4676,Unique work,male,5.9,9.1,Not flat,47.0,3.0,Unique,signed,gallery,1822.0,other,No description,Spain,images_thesis\2228539_1_m.jpg
4677,Unique work,unknown,40.0,60.0,Not flat,3.0,3.0,Unique,signed,gallery,3350.0,acrylic,Present,United States,images_thesis\2227223_1_m.jpg
4678,Unique work,female,39.4,39.4,Not flat,1.0,3.0,Unique,signed,gallery,2500.0,acrylic,No description,other,images_thesis\2204517_1_m.jpg
4679,Unique work,unknown,17.9,20.9,Not flat,3.0,10.0,Unique,signed,gallery,2429.0,oil,No description,France,images_thesis\2189628_1_m.jpg
4680,Unique work,female,35.4,27.6,Not flat,2.0,4.0,Unique,signed,gallery,2186.0,acrylic,No description,Spain,images_thesis\2165433_1_m.jpg
4681,Unique work,female,27.6,19.7,Not flat,10.0,2.0,Unique,signed,gallery,3571.0,other,No description,other,images_thesis\2162717_1_m.jpg
4682,Unique work,unknown,24.0,20.0,Not flat,3.0,3.0,Unique,signed,gallery,2250.0,other,Present,other,images_thesis\2026986_1_m.jpg
4683,Unique work,male,35.0,33.0,Not flat,2.0,3.0,Unique,signed,gallery,2550.0,other,Present,other,images_thesis\2018694_1_m.jpg
4684,Unique work,male,39.4,31.9,Not flat,4.0,4.0,Unique,signed,gallery,6073.0,oil,No description,France,images_thesis\2015139_1_m.jpg
4685,Unique work,unknown,14.2,14.2,Not flat,2.0,10.0,Unique,signed,gallery,547.0,acrylic,No description,other,images_thesis\1972452_1_m.jpg
4686,Unique work,male,19.3,24.8,Flat,40.0,3.0,Unique,signed,gallery,5466.0,other,No description,Spain,images_thesis\1935666_1_m.jpg
4687,Unique work,unknown,27.6,19.7,Not flat,4.0,3.0,Unique,signed,gallery,850.0,other,Present,France,images_thesis\1926519_1_m.jpg
4688,Unique work,female,19.7,19.7,Not flat,2.0,9.0,Unique,signed,gallery,2186.0,other,No description,Spain,images_thesis\1922952_1_m.jpg
4689,Unique work,female,27.6,35.4,Not flat,49.0,3.0,Unique,signed,gallery,9110.0,other,Present,other,images_thesis\1912245_1_m.jpg
4690,Unique work,unknown,11.8,35.4,Not flat,4.0,10.0,Unique,signed,gallery,231.0,acrylic,No description,France,images_thesis\1870383_1_m.jpg
4691,Unique work,female,27.6,19.7,Flat,38.0,3.0,Unique,signed,gallery,3401.0,other,No description,Spain,images_thesis\1789347_1_m.jpg
4692,Unique work,male,18.5,12.2,Flat,93.0,3.0,Unique,signed,gallery,5466.0,other,Present,Spain,images_thesis\1512135_1_m.jpg
4693,Unique work,unknown,66.5,55.1,Not flat,5.0,9.0,Unique,signed,gallery,4373.0,other,Present,France,images_thesis\1485912_1_m.jpg
4694,Unique work,male,29.9,22.8,Not flat,28.0,6.0,Unique,signed,gallery,2101.0,other,No description,other,images_thesis\1369059_1_m.jpg
4695,Unique work,unknown,8.0,12.0,Not flat,4.0,4.0,Unique,signed,gallery,972.0,other,No description,United States,images_thesis\1357218_1_m.jpg
4696,Unique work,female,20.0,20.0,Not flat,8.0,4.0,Unique,signed,gallery,4800.0,other,Present,other,images_thesis\1212306_1_m.jpg
4697,Unique work,male,57.1,78.7,Not flat,26.0,12.0,Unique,not signed,gallery,5466.0,acrylic,Present,France,images_thesis\1187829_1_m.jpg
4698,Unique work,unknown,23.6,28.7,Not flat,33.0,5.0,Unique,signed,gallery,3401.0,acrylic,Present,France,images_thesis\1081062_1_m.jpg
